Key,Id,Korean(ko),English(en),Chinese (Simplified)(zh),Chinese (Traditional)(zh-TW),Japanese(ja),,,,,,
112007,,주간 각성석 던전 티켓,Weekly Awaken Stone Dugn. Ticket,每周觉醒石礼包,每週覺醒石禮包,週間覚醒石パッケージ,,,,,,
112008,,주간 스킬 강화석 던전 티켓,Weekly Skill Stone Dugn. Ticket,每周技能强化石礼包,每週技能強化石禮包,週間スキル強化石パッケージ,,,,,,
112009,,주간 펫 던전 티켓,Weekly Pet Dugn. Ticket,每周宠物副本入场券,每週寵物副本入場券,週間ペットダンジョン入場券,,,,,,
112010,,주간 암시장 코인 던전 티켓,Weekly Blackmacket Coin Dugn. Ticket,每周黑市金币地牢入场券,每週黑市金幣地牢入場券,週間闇市場コインダンジョン入場券,,,,,,
112011,,월간 각성석 던전 티켓,Monthly Awaken Stone Dugn. Ticket,每月觉醒石礼包,每月覺醒石禮包,月間覚醒石パッケージ,,,,,,
112012,,월간 스킬 강화석 던전 티켓,Monthly Skill Stone Dugn. Ticket,每月技能强化石礼包,每月技能強化石禮包,月間スキル強化石パッケージ,,,,,,
112013,,월간 펫 던전 티켓,Monthly Pet Dugn. Ticket,每月宠物副本入场券,每月寵物副本入場券,月間ペットダンジョン入場券,,,,,,
112014,,월간 암시장 코인 던전 티켓,Monthly Blackmacket Coin Dugn. Ticket,每月黑市金币地牢入场券,每月黑市金幣地牢入場券,月間闇市場コインダンジョン入場券,,,,,,
112015,,한정 찬스 패키지 1,Limited Chance Package 1,有限机会套餐1,機會有限套餐1,限定チャンスパッケージ 1,,,,,,
112016,,한정 찬스 패키지 2,Limited Chance Package 2,有限机会套餐2,機會有限套餐2,限定チャンスパッケージ 2,,,,,,
112017,,한정 찬스 패키지 3,Limited Chance Package 3,有限机会套餐3,機會有限套餐3,限定チャンスパッケージ 3,,,,,,
112018,,한정 찬스 패키지 4,Limited Chance Package 4,有限机会套餐4,機會有限套餐4,限定チャンスパッケージ 4,,,,,,
112019,,오픈 기념 패키지1,Open commemorative package 1,开启纪念套餐1,開啟紀念套餐1,オープン記念パッケージ1,,,,,,
112020,,오픈 기념 패키지2,Open commemorative package 2,开启纪念套餐2,開啟紀念套餐2,オープン記念パッケージ2,,,,,,
112021,,무기에 올인 패키지,All-in package for Weapons,武器包,武器包,武器にオールインパッケージ,,,,,,
112022,,반지에 올인 패키지,All-in package for Rings,戒指包,戒指包,指輪にオールインパッケージ,,,,,,
112023,,스킬에 올인 패키지,All-in package for Skills,技能包,技能包,スキルにオールインパッケージ,,,,,,
112024,,유물에 올인 패키지,All-in package for Relics,遗物包,遺物包,遺物にオールインパッケージ,,,,,,
112025,,카우보이 코스튬 패키지,Cowboy Costume Package,牛仔服装套餐,牛仔服裝套餐,カウボーイコスチュームパッケージ,,,,,,
112026,,해적 코스튬 패키지,Pirate Costume Package,海盗服装套餐,海盜服裝套餐,海賊コスチュームパッケージ,,,,,,
112027,,신규 용사를 위한 패키지,New Warrior Package,新战士礼包,新戰士禮包,新規勇者向けパッケージ,,,,,,
112028,,원석 패키지,Ore package,宝石包,寶石包,原石パッケージ,,,,,,
112029,,대용량 원석 패키지,Large capacity Ore package,大容量宝石包,大容量寶石包,大容量原石パッケージ,,,,,,
112030,,닌자 코스튬 패키지,Ninja Costume Package,忍者服装套餐,忍者服裝套餐,忍者コスチュームパッケージ,,,,,,
112031,,각성 패키지,Awakening Package,觉醒包,覺醒包,覚醒パッケージ,,,,,,
113000,,나뭇가지,Branch,分支,分支,木の枝,,,,,,
113001,,통나무,Log,日志,紀錄,丸太,,,,,,
113002,,나무 몽둥이,Wooden Club,棒槌,槌,木製クラブ,,,,,,
113003,,나무 배트,Wooden Bat,木棒,木棒,ウッドバット,,,,,,
113004,,목검,Wooden Sword,木剑,木劍,木剣,,,,,,
113005,,돌멩이,Stone,石头,石頭,石,,,,,,
113006,,뾰족한 돌맹이,Sharp Stone,锋利的石头,尖銳的石頭,ストーンハンマー,,,,,,
113007,,돌망치,Stone Hammer,石锤,石鎚,信頼の鎌,,,,,,
113008,,우산,Umbrellar,伞,傘,傘,,,,,,
113009,,망치,Hammer,锤子,錘子,ハンマー,,,,,,
113010,,죽도,bamboo sword,竹剑,竹劍,竹刀,,,,,,
113011,,알루미늄 배트,Aluminum Bat,铝棒,鋁棒,アルミバット,,,,,,
113012,,빠루,Crowbar,撬棍,撬棍,バール,,,,,,
113013,,야삽,Shovel,铲,鏟,シャベル,,,,,,
113014,,식칼,Kitchen Knife,菜刀,花椰菜刀,包丁,,,,,,
113015,,중식도,Chinese Kitchen Knife,中式菜刀,中國菜刀,中華包丁,,,,,,
113016,,후라이팬,Frying Pan,平底锅,平底鍋,フライパン,,,,,,
113017,,부러진 검,Broken Sword,断剑,斷劍,折れた剣,,,,,,
113018,,강철 검,Steel Sword,钢剑,鋼劍,鋼の剣,,,,,,
113019,,메이스,Mace,锤,槌,メース,,,,,,
113020,,소드브레이커,Sword Braker,断剑者,科佩什劍,ソードブレイカー,,,,,,
113021,,쿠크리,Kukri,库克里刀,庫克里刀,ククリ,,,,,,
113022,,코페쉬,Khopesh,科佩什剑,太古之鐮,ホペシュ,,,,,,
113023,,세이버,Saber,佩剑,佩劍,セイバー,,,,,,
113024,,플람바드,Flambard,焰形剑,焰形劍,フランベルジュ,,,,,,
113025,,레이피어,Rapier,礼剑,禮劍,レイピア,,,,,,
113026,,오크블레이드,Orc Blade,兽人之刃,獸人之刃,オークブレード,,,,,,
113027,,배틀액스,Battle Axe,战斧,戰斧,戦斧,,,,,,
113028,,글라디우스,Gladius,罗马剑,羅馬劍,グラディウス,,,,,,
113029,,사신의 낫,Death's Scythe,死神镰刀,死神鐮刀,死神の鎌,,,,,,
113030,,장미칼,Serration Knife,锯齿刀,鋸齒刀,鋸歯状ナイフ,,,,,,
113031,,엑스칼리버,Excalibur,神剑,神劍,エクスカリバー,,,,,,
113032,,광선검,Lightsaber,光剑,光劍,ライトセーバー,,,,,,
113033,,버섯왕의 검,Mushroom King's Sword,蘑菇王的剑,蘑菇王的劍,キノコ王の剣,,,,,,
113034,,대천사의 검,Archangel's Sword,大天使之剑,大天使之劍,大天使の剣,,,,,,
114000,,풀잎 반지,Grass Ring,草戒指,草戒指,グラス指輪,,,,,,
114001,,갈대 반지,Fried egg ring,簧片戒指,簧片戒指,リード指輪,,,,,,
114002,,민들레 반지,dandelion Ring,蒲公英戒指,蒲公英戒指,タンポポの指輪,,,,,,
114003,,세잎클로버 반지,Clover Ring,三叶草戒指,三葉草戒指,クローバー指輪,,,,,,
114004,,네잎클로버 반지,Four-leaf Clover Ring,四叶草戒指,四葉草戒指,四つ葉のクローバー指輪,,,,,,
114005,,은행잎 반지,Ginkgo leaves Ring,银杏叶戒指,銀杏葉戒指,銀杏の葉 指輪,,,,,,
114006,,단풍잎 반지,Maple leaf Ring,枫叶戒指,楓葉戒指,メープルリーフ指輪,,,,,,
114007,,나무 반지,Wodden Ring,木戒指,木戒指,木製指輪,,,,,,
114008,,대나무 반지,Bamboo Ring,竹戒指,竹戒,竹指輪,,,,,,
114009,,클립,Clip,夹戒指,夾戒指,クランプ指輪,,,,,,
114010,,돌 반지,Stone Ring,石戒指,石戒指,ストーン指輪,,,,,,
114011,,깨진 구슬 반지,Broken bead Ring,断珠戒指,斷珠戒指,壊れたビーズ指輪,,,,,,
114012,,쇠 반지,Steel Ring,铁戒指,鐵戒指,スチール指輪,,,,,,
114013,,황동 반지,Brass Ring,黄铜戒指,黃銅戒指,真鍮指輪,,,,,,
114014,,청금석 반지,Lapis lazuli Ring,青金石戒指,青金石戒指,青金石指輪,,,,,,
114015,,계란후라이,Fried egg Ring,煎鸡蛋指,煎蛋指,目玉焼き指輪,,,,,,
114016,,옥 반지,Jade ring,玉戒指,玉戒指,翡翠の指輪,,,,,,
114017,,얼음 반지,Ring of ICE ,冰戒指,冰戒指,氷の指輪,,,,,,
114018,,불 반지,Ring of Fire,火戒指,火戒指,炎の指輪,,,,,,
114019,,빛의 반지,Ring of Light,光戒指,光戒指,光の指輪,,,,,,
114020,,고통의 인장,Sigil of Pain,痛苦印记,痛苦印記,痛みの印章,,,,,,
114021,,죽음의 인장,Sigil of Death,死亡印记,死亡印記,死の印章,,,,,,
114022,,저주의 인장,Sigil of Curse,诅咒印记,詛咒印記,呪いの印章,,,,,,
114023,,사신의 인장,Sigil of Reaper,收割者印记,收割者印記,死神の印章,,,,,,
114024,,뫼비우스,Sigil of Moebius,莫比斯印记,莫比斯印記,メビウスの印章,,,,,,
114025,,룬 반지,Ring of Rune,符文戒指,符文戒指,ルーンの指輪,,,,,,
114026,,주술 반지,Witchcraft Ring,巫术戒指,巫術戒指,呪術指輪,,,,,,
114027,,태고 반지,Ancient Ring,远古戒指,遠古戒指,太古指輪,,,,,,
114028,,뱀 반지,Snake Ring,蛇戒指,蛇戒指,ヘビ指輪,,,,,,
114029,,용 반지,Dragon Ring,龙戒指,龍戒指,ドラゴン指輪,,,,,,
114030,,장미 반지,Rose Ring,玫瑰戒指,玫瑰戒指,ローズ指輪,,,,,,
114031,,스마트 반지,Smart Ring,智慧戒指,智慧戒指,スマート指輪,,,,,,
114032,,챔피언 반지,Champion Ring,冠軍戒指,冠軍戒指,チャンピオン指輪,,,,,,
114033,,버섯왕의 반지,Mushroom King's Ring,巨吉斯之戒,蘑菇王戒指,キノコ王の指輪,,,,,,
114034,,대천사의 반지,Archangel's Ring,大天使之戒指,大天使之戒指,大天使の指輪,,,,,,
114500,,녹슨 힘의 보석,Rusty Jewel of Power,生锈的力量之宝石,生鏽的力量之寶石,錆びた力の宝石,,,,,,
114501,,녹슨 능력의 보석,Rusty Jewel of Skill,生锈的技能之宝石,生鏽的技能之寶石,錆びたスキルの宝石,,,,,,
114502,,녹슨 강화의 보석,Rusty Jewel of Strike,生锈的打击之宝石,生鏽的打擊之寶石,錆びたストライク宝石,,,,,,
114503,,녹슨 광란의 보석,Rusty Jewel of Frenzy,生锈的疯狂之宝石,生鏽的瘋狂之寶石,錆びた狂乱の宝石,,,,,,
114504,,녹슨 이동의 보석,Rusty Jewel of Movement,生锈的运动之珠,生鏽的運動之寶石,錆びた動きの宝石,,,,,,
114505,,녹슨 힘의 보석,Rusty Jewel of Power,生锈的力量之珠,生鏽的力量之寶石,錆びた力の宝石,,,,,,
114506,,녹슨 능력의 보석,Rusty Jewel of Skill,生锈的技能之珠,生鏽的技能之寶石,錆びたスキルの宝石,,,,,,
114507,,녹슨 강화의 보석,Rusty Jewel of Strike,生锈的打击之珠,生鏽的打擊之寶石,錆びたストライク宝石,,,,,,
114508,,녹슨 광란의 보석,Rusty Jewel of Frenzy,生锈的疯狂之珠,生鏽的瘋狂之寶石,錆びた狂乱の宝石,,,,,,
114509,,녹슨 이동의 보석,Rusty Jewel of Movement,生锈的运动之珠,生鏽的運動之寶石,錆びた動きの宝石,,,,,,
114510,,힘의 보석,Jewel of Power,力量之珠,力量之寶石,力の宝石,,,,,,
114511,,능력의 보석,Jewel of Skill,技能之珠,技能之寶石,スキルの宝石,,,,,,
114512,,강화의 보석,Jewel of Strike,打击之珠,打擊之寶石,ストライク宝石,,,,,,
114513,,광란의 보석,Jewel of Frenzy,疯狂之珠,瘋狂之寶石,狂乱の宝石,,,,,,
114514,,이동의 보석,Jewel of Movement,运动之珠,運動之寶石,動きの宝石,,,,,,
114515,,힘의 보석,Jewel of Power,力量之珠,力量之寶石,力の宝石,,,,,,
114516,,능력의 보석,Jewel of Skill,技能之珠,技能之寶石,スキルの宝石,,,,,,
114517,,강화의 보석,Jewel of Strike,打击之珠,打擊之寶石,ストライク宝石,,,,,,
114518,,광란의 보석,Jewel of Frenzy,疯狂之珠,瘋狂之寶石,狂乱の宝石,,,,,,
114519,,이동의 보석,Jewel of Movement,运动之珠,運動之寶石,動きの宝石,,,,,,
114520,,힘의 보석,Jewel of Power,力量之珠,力量之寶石,力の宝石,,,,,,
114521,,능력의 보석,Jewel of Skill,技能之珠,技能之寶石,スキルの宝石,,,,,,
114522,,강화의 보석,Jewel of Strike,打击之珠,打擊之寶石,ストライク宝石,,,,,,
114523,,광란의 보석,Jewel of Frenzy,疯狂之珠,瘋狂之寶石,狂乱の宝石,,,,,,
114524,,이동의 보석,Jewel of Movement,运动之珠,運動之寶石,動きの宝石,,,,,,
114525,,빛나는 힘의 보석,Shining Jewel of Power,闪耀的力量之珠,閃耀的力量之寶石,輝く力の真珠,,,,,,
114526,,빛나는 능력의 보석,Shining Jewel of Skill,闪耀的技能之珠,閃耀的技能之寶石,輝くスキルの宝石,,,,,,
114527,,빛나는 강화의 보석,Shining Jewel of Strike,闪耀的打击之珠,閃耀的打擊之寶石,輝くストライク宝石,,,,,,
114528,,빛나는 광란의 보석,Shining Jewel of Frenzy,闪耀的疯狂之珠,閃耀的瘋狂之寶石,輝く狂乱の宝石,,,,,,
114529,,빛나는 이동의 보석,Shining Jewel of Movement,闪耀的运动之珠,閃耀的運動之寶石,輝く動きの宝石,,,,,,
114530,,빛나는 힘의 보석,Shining Jewel of Power,闪耀的力量之珠,閃耀的力量之寶石,輝く力の真珠,,,,,,
114531,,빛나는 능력의 보석,Shining Jewel of Skill,闪耀的技能之珠,閃耀的技能之寶石,輝くスキルの宝石,,,,,,
114532,,빛나는 강화의 보석,Shining Jewel of Strike,闪耀的打击之珠,閃耀的打擊之寶石,輝くストライク宝石,,,,,,
114533,,빛나는 광란의 보석,Shining Jewel of Frenzy,闪耀的疯狂之珠,閃耀的瘋狂之寶石,輝く狂乱の宝石,,,,,,
114534,,빛나는 이동의 보석,Shining Jewel of Movement,闪耀的运动之珠,閃耀的運動之寶石,輝く動きの宝石,,,,,,
115000,,유도 화살,Guided arrow,导引箭,導引箭,誘導矢,,,,,,
115001,,스모크,Smoke,抽烟,抽煙,煙,,,,,,
115002,,잔불,Ember,余烬,餘燼,残り火,,,,,,
115003,,별똥별,Shooting Star,流星,流星,流れ星,,,,,,
115004,,분쇄,grind,研磨,研磨,粉砕,,,,,,
115005,,역풍,Contrary Wind,逆风,逆風,逆風,,,,,,
115006,,다중 폭격,Multiple Bombing,多重轰炸,多重轟炸,多重爆撃,,,,,,
115007,,징벌,Punishment,惩罚,懲罰,処罰,,,,,,
115008,,마법 폭탄,Magic Bomb,魔法炸弹,魔法炸彈,魔法の爆弾,,,,,,
115009,,마력 집중,Explosion of Magic,魔力爆发,魔力爆發,魔力の爆発,,,,,,
115010,,얼음 장판,Ice Wave,冰波,冰波,氷の波,,,,,,
115011,,망령,Shade,鬼,鬼,亡霊,,,,,,
115012,,자기장,Magnetic Field,磁场,磁場,磁場,,,,,,
115013,,균열,Crack,裂缝,裂縫,亀裂,,,,,,
115014,,플라즈마 구체,Plasma Sphere,等离子球,電漿球,プラズマ球,,,,,,
115015,,눈보라,blizzard,暴风雪,暴風雪,猛吹雪,,,,,,
115016,,마법 칼날,Magic Blade,魔法之刃,魔法之刃,マジックブレード,,,,,,
115017,,방울 감옥,Water Drop Prison,水滴监狱,水滴監獄,水滴刑務所,,,,,,
115018,,빛의 장막,Curtain of Light,光幕,光幕,光のカーテン,,,,,,
115019,,녹색 폭발,Green Explosion,绿色爆炸,綠色霹靂,緑の爆発,,,,,,
115020,,마법 미사일,Magic Missile,魔法飞弹,魔法飛彈,マジックミサイル,,,,,,
115021,,불의 길,Path of Flame,火焰之路,火焰之路,炎の道,,,,,,
115022,,매직 서클,Magic Circle,魔法阵,魔法陣,魔法陣,,,,,,
115023,,운석 다발,Meteor,多颗流星,多顆流星,複数の流星,,,,,,
115024,,마력 결정체,Magic Crystal,魔法水晶,魔法水晶,マジッククリスタル,,,,,,
115025,,우주의 심판,Cosmic Judgment,宇宙审判,宇宙審判,宇宙の判断,,,,,,
115026,,천벌,Wrath of God,神罚,神罰,天罰,,,,,,
115027,,화산 폭발,Volcano Eruption,火山爆发,火山爆發,火山爆発,,,,,,
116000,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116001,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116002,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116003,,{0}초의 스턴과 {1}%의 피해를 입힌다.,Stuns for {0} seconds and Inflicts {1}% damage.,眩晕 {0} 秒并造成 {1}% 伤害。,暈眩 {0} 秒並造成 {1}% 傷害。,{0}秒間気絶させ、{1}%のダメージを与える。,,,,,,
116004,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116005,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116006,,{0}개의 공격을 날리며 각각 {1}%의 피해를 입힌다.,"Makes {0} attacks, each dealing {1}% damage.",进行 {0} 次攻击，每次攻击造成 {1}% 的伤害。,進行 {0} 次攻擊，每次攻擊造成 {1}% 的傷害。,{0} 回の攻撃を行い、それぞれ {1}% のダメージを与えます。,,,,,,
116007,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116008,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116009,,{0}초의 스턴과 {1}%의 피해를 입힌다.,Stuns for {0} seconds and Inflicts {1}% damage.,眩晕 {0} 秒并造成 {1}% 伤害。,暈眩 {0} 秒並造成 {1}% 傷害。,{0}秒間気絶させ、{1}%のダメージを与える。,,,,,,
116010,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116011,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116012,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116013,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116014,,{0}초의 스턴과 {1}%의 피해를 입힌다.,Stuns for {0} seconds and Inflicts {1}% damage.,眩晕 {0} 秒并造成 {1}% 伤害。,暈眩 {0} 秒並造成 {1}% 傷害。,{0}秒間気絶させ、{1}%のダメージを与える。,,,,,,
116015,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116016,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116017,,{0}초의 스턴과 {1}%의 피해를 입힌다.,Stuns for {0} seconds and Inflicts {1}% damage.,眩晕 {0} 秒并造成 {1}% 伤害。,暈眩 {0} 秒並造成 {1}% 傷害。,{0}秒間気絶させ、{1}%のダメージを与える。,,,,,,
116018,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116019,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116020,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116021,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116022,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116023,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116024,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
116025,,{0}%의 피해를 입힌다.,Inflicts {0}% damage.,造成 {0}% 伤害。,造成 {0}% 傷害。,{0}%のダメージを与えます。,,,,,,
116026,,{0}개의 공격을 날리며 각각 {1}%의 피해를 입힌다.,"Makes {0} attacks, each dealing {1}% damage.",进行 {0} 次攻击，每次攻击造成 {1}% 的伤害。,進行 {0} 次攻擊，每次攻擊造成 {1}% 的傷害。,{0} 回の攻撃を行い、それぞれ {1}% のダメージを与えます。,,,,,,
116027,,{0}초간 {1}마다 {2}%의 피해를 입힌다.,Inflicts {2}% damage every {1} seconds for {0} seconds.,每 {1} 秒造成 {2}% 伤害，持续 {0} 秒。,每 {1} 秒造成 {2}% 傷害，持續 {0} 秒。,{0}秒間、{1}秒ごとに{2}%のダメージを与えます。,,,,,,
117000,,스킬 슬롯 2번 잠금 해제,Unlock Skill Slot No. 2,技能栏位2解锁,解鎖技能欄位2,スキルスロット2番のロック解除,,,,,,
117001,,스킬 슬롯 3번 잠금 해제,Unlock Skill Slot No. 3,技能栏位3解锁,解鎖技能欄位3,スキルスロット3番のロック解除,,,,,,
117002,,스킬 슬롯 4번 잠금 해제,Unlock Skill Slot No. 4,技能栏位4解锁,解鎖技能欄位4,スキルスロット4番のロック解除,,,,,,
117003,,펫 잠금 해제,Unlock Pet,宠物解锁,解鎖寵物,ペットのロック解除,,,,,,
117004,,캐릭터 메뉴 잠금 해제,Unlock Character Menu,角色菜单解锁,解鎖角色選單,キャラクターメニューのロック解除,,,,,,
117005,,무기 소환 잠금 해제,Unlock Weapon Summon,召唤武器解锁,解鎖召喚武器,武器召喚のロック解除,,,,,,
117006,,스킬 메뉴 잠금 해제,Unlock Skill Menu,技能菜单解锁,解鎖技能選單,スキルメニューのロック解除,,,,,,
117007,,레벨업 잠금 해제,Unlock Level Up,升级解锁,解鎖升級,レベルアップのロック解除,,,,,,
117008,,스킬 소환 잠금 해제,Unlock Skill Summon,技能召唤解锁,解鎖召喚技能,スキル召喚のロック解除,,,,,,
117009,,가방 메뉴 잠금 해제,Unlock Inventory Menu,背包菜单解锁,解鎖背包選單,カバンメニューのロック解除,,,,,,
117010,,반지 소환 잠금 해제,Unlock Ring Summon,召唤戒指解锁,解鎖召喚戒指,指輪召喚のロック解除,,,,,,
117011,,반지 메뉴 잠금 해제,Unlock Ring Menu,戒指菜单解锁,解鎖戒指選單,指輪メニューのロック解除,,,,,,
117012,,스킬 강화석 던전 잠금 해제,Unlock Skill Stone Dugn.,技能强化石副本解锁,解鎖技能強化石副本,スキル強化石ダンジョンのロック解除,,,,,,
117013,,각성석 던전 잠금 해제,Unlock Awaken Stone Dugn.,觉醒石副本解锁,解鎖覺醒石副本,覚醒石ダンジョンのロック解除,,,,,,
117014,,펫 던전 잠금 해제,Unlock Pet Dugn.,宠物副本解锁,解鎖寵物副本,ペットダンジョンのロック解除,,,,,,
117015,,자동 스킬 잠금 해제,Unlock Auto Skill,自动技能解锁,解鎖自動技能,自動スキルのロック解除,,,,,,
117016,,펫 슬롯 2번 잠금 해제,Unlock Pet Slot No. 2,宠物栏位2解锁,解鎖寵物欄位2,ペットスロット2番のロック解除,,,,,,
117017,,펫 슬롯 3번 잠금 해제,Unlock Pet Slot No. 3,宠物栏位3解锁,解鎖寵物欄位3,ペットスロット3番のロック解除,,,,,,
