Key,Id,Korean(ko),English(en),Chinese (Simplified)(zh),Chinese (Traditional)(zh-TW),Japanese(ja),,,,,,
117018,,펫 슬롯 4번 잠금 해제,Unlock Pet Slot No. 4,宠物栏位4解锁,解鎖寵物欄位4,ペットスロット4番のロック解除,,,,,,
117019,,암시장 코인 던전 잠금 해제,Unlock BlackMarket Coin Dugn.,黑市金币地牢解锁,解鎖黑市金幣地牢,闇市場コインダンジョンのロック解除,,,,,,
117020,,다이아 던전 잠금 해제,Unlock Diamond Dugn.,钻石地牢解锁,解鎖鑽石地牢,ダイヤダンジョンのロック解除,,,,,,
117021,,잠재 메뉴 잠금 해제,Unlock Potential Menu,解锁潜在菜单,解鎖潛在選單,潜在メニューのロック解除,,,,,,
117022,,유물 메뉴 잠금 해제,Unlock Relic Menu,遗物菜单解锁,解鎖遺物選單,遺物メニューのロック解除,,,,,,
117023,,유물 소환 잠금 해제,Unlock Relic Summon,召唤遗物解锁,解鎖召喚遺物,遺物召喚のロック解除,,,,,,
117024,,보석 메뉴 잠금 해제,Unlock Jewel Menu,宝石菜单解锁,解鎖寶石選單,宝石メニューのロック解除,,,,,,
117025,,보석 소환 잠금 해제,Unlock Jewel Summon,召唤宝石解锁,解鎖召喚寶石,宝石召喚のロック解除,,,,,,
117026,,암시장 메뉴 잠금 해제,Unlock Black Market Menu,黑市菜单解锁,解鎖黑市選單,闇市場メニューのロック解除,,,,,,
117027,,수련 잠금 해제,Unlock Training Ground,训练场解锁,解鎖訓練場,修練場のロック解除,,,,,,
119000,,다이아,Diamond,钻石,鑽石,ダイヤ,,,,,,
119001,,골드,Gold,金币,金幣,ゴールド,,,,,,
119002,,무기 강화석,Weapon Stone,武器强化石,武器強化石,武器強化石,,,,,,
119003,,각성석,Awaken Stone,觉醒石,覺醒石,覚醒石,,,,,,
119004,,반지 강화석,Ring Stone,戒指强化石,戒指強化石,指輪強化石,,,,,,
119005,,스킬 강화석,Skill Stone,技能强化石,技能強化石,スキル強化石,,,,,,
119006,,펫 강화석,Pet Stone,宠物强化石,寵物強化石,ペット強化石,,,,,,
119007,,레벨업 포인트,Level-up Point,升级点数,升級點數,レベルアップポイント,,,,,,
119008,,스킬 강화석 던전 입장권,Skill Stone Dugn. Ticket,技能强化石副本入场券,技能強化石副本入入場券,スキル強化石ダンジョン入場券,,,,,,
119009,,각성석 던전 입장권,Awaken Stone Dung. Ticket,觉醒石副本入场券,覺醒石副本入場券,覚醒石ダンジョン入場券,,,,,,
119010,,펫 던전 입장권,Pet Dung. Ticket,宠物副本入场券,寵物副本入場券,ペットダンジョン入場券,,,,,,
119011,,암시장 코인 던전 입장권,BlackMarket Coin Dung. Ticket,黑市金币地牢入场券,黑市金幣地牢入場券,闇市場コインダンジョン入場券,,,,,,
119012,,다이아 던전 입장권,Diamond Dung. Ticket,钻石地牢入场券,鑽石地牢入場券,ダイヤダンジョン入場券,,,,,,
119013,,광고 제거,Remove Ad,去除广告,去除廣告,広告削除,,,,,,
119014,,경험치,EXP,经验值,經驗值,経験値,,,,,,
119015,,마일리지,Mileage,积分,積分,マイレージ,,,,,,
119016,,잠재석,Potential Stone,潜在石,潛在石,潜在石,,,,,,
119017,,무기 소환권,Weapon Summon Ticket,武器召唤券,武器召喚券,武器召喚チケット,,,,,,
119018,,반지 소환권,Ring Summon Ticket,戒指召唤券,戒指召喚券,指輪召喚チケット,,,,,,
119019,,스킬 소환권,Skill Summon Ticket,技能召唤券,技能召喚券,スキル召喚チケット,,,,,,
119020,,유물 소환권,Relic Summon Ticket,圣物召唤券,聖物召喚券,遺物召喚チケット,,,,,,
119021,,보석 소환권,Jewel Summon Ticket,宝石召唤券,寶石召喚券,宝石召喚チケット,,,,,,
119022,,원석,Ore,矿石,礦石,鉱石,,,,,,
120000,,민들레,Dandelion,蒲公英,蒲公英,タンポポ,,,,,,
120001,,딸기,Strawberry,草莓,草莓,いちご,,,,,,
120002,,감귤,Mandarin,橘子,橘子,みかん,,,,,,
120003,,수박,Watermelon,西瓜,西瓜,スイカ,,,,,,
120004,,당근,Carrot,胡萝卜,紅蘿蔔,にんじん,,,,,,
120005,,토마토,Tomato,番茄,番茄,タンキー,,,,,,
120006,,호박,Pumpkin,南瓜,南瓜,かぼちゃ,,,,,,
120007,,치즈,Cheese,奶酪,起司,チーズ,,,,,,
120008,,꿀벌,Honey Bee,蜜蜂,蜜蜂,ミツバチ,,,,,,
120009,,햄스터,Hamster,仓鼠,倉鼠,ハムスター,,,,,,
120010,,다람쥐,Squirrel,松鼠,松鼠,リス,,,,,,
120011,,닭,Chicken,鸡,雞,鶏,,,,,,
120012,,고양이,Dra-toad,猫,貓,猫,,,,,,
120013,,아기용,Baby Dragon,龙宝宝,龍寶寶,ベイビードラゴン,,,,,,
121000,,슬라임,Slime,史莱姆,史萊姆,スライム,,,,,,
121001,,코르크 슬라임,Cork Slime,软木史莱姆,軟木史萊姆,コルクスライム,,,,,,
121002,,방패 슬라임,Shield Slime,盾牌史莱姆,盾牌史萊姆,盾スライム,,,,,,
121003,,삐죽 슬라임,Spiky Slime,尖刺史莱姆,尖刺史萊姆,とげとげスライム,,,,,,
121004,,독 슬라임,Poison Slime,剧毒史莱姆,毒史萊姆,毒スライム,,,,,,
121005,,파리슬라임,FlySlime,苍蝇史莱姆,蒼蠅史萊姆,ハエスライム,,,,,,
121006,,칼 버섯,Knife Mushroom,刀蘑,刀蘑菇,刃きのこ,,,,,,
121007,,도끼 버섯,Axe Mushroom,斧蘑,斧頭菇,斧きのこ,,,,,,
121008,,베테랑 버섯,Veteran Mushroom,老手蘑菇,老手蘑菇,ベテランきのこ,,,,,,
121009,,활 버섯,Bow Mushroom,弓蘑,弓蘑菇,弓きのこ,,,,,,
121010,,인디밴드거북이,Indieband Turtle,独立乐队乌龟,獨立樂團烏龜,インディバンドカメ,,,,,,
121011,,독독 개구리,Poison Frog,毒毒青蛙,毒毒青蛙,毒毒カエル,,,,,,
121012,,돌돌 개구리,Stone Frog,石石青蛙,石石青蛙,石石カエル,,,,,,
121013,,칼칼 개구리,Knife Frog,刀刀青蛙,刀刀青蛙,刃刃カエル,,,,,,
121014,,활활 개구리,Bow Frog,弓弓青蛙,弓弓青蛙,弓弓カエル,,,,,,
121015,,무우,Radish,萝卜,蘿蔔,ダイコン,,,,,,
121016,,흡혈무우,Vampire Radish,吸血萝卜,吸血蘿蔔,吸血ダイコン,,,,,,
121017,,비홀더무우,Beholder Radish,旁观者萝卜,監視者蘿蔔,ビホルダーダイコン,,,,,,
121018,,삼지무우,Trident Radish,三叉戟萝卜,三叉戟蘿蔔,フォークダイコン,,,,,,
121019,,피그슬레이어,Pig Slayer,屠猪杀手,屠豬者,ピッグスレイヤー,,,,,,
121020,,산적으로 때리는 산적오크 ,Bandit Orc,强盗兽人,強盜獸人,盗賊オーク,,,,,,
121021,,아마복서캥거루,Amateur Boxer Kangaroo,业余拳击手袋鼠,業餘拳擊手袋鼠,アマチュアボクサーカンガルー,,,,,,
121022,,돼지술사,Pig Sorcerer,猪术士,豬巫師,豚術師,,,,,,
121023,,해골까마귀,Skeleton Raven,头骨乌鸦,頭骨烏鴉,頭蓋骨のカラス,,,,,,
121024,,산적왕 산적오크 ,Venom Frog King,兽人强盗王,獸人強盜王,山賊王オーク,,,,,,
121025,,대검 해골까마귀왕,Greatsword Skeleton Raven King,巨剑骷髅乌鸦王,巨劍骷髏烏鴉王,大剣スケルトンカラス王,,,,,,
121026,,프로복서캥거루,Professional Boxer Kangaroo,职业拳击手袋鼠,職業拳擊手袋鼠,プロボクサーのカンガルー,,,,,,
121027,,파리대왕슬라임,Lord of the Flies-Slime,苍蝇王史莱姆,蒼蠅王史萊姆,ハエ大王スライム,,,,,,
121028,,프로기타리스트거북이,Professional Guitarist Turtle,职业吉他手乌龟,職業吉他手烏龜,プロギタリストカメ,,,,,,
122000,,일반 브론즈 꽃,Common Bronze Book,普通青铜书,普通銅書,一般ブロンズの本,,,,,,
122001,,일반 실버 꽃,Common Silver Book,普通白银书,普通銀書,一般シルバーの本,,,,,,
122002,,일반 골드 꽃,Common Gold Book,普通黄金书,普通金書,一般ゴールドの本,,,,,,
122003,,일반 다이아 꽃,Common Diamond Book,普通钻石书,普通鑽石書,一般ダイヤの本,,,,,,
122004,,봉인된 쟈스민,Sealed Jasmine,被封印的茉莉花,封印的茉莉花,封印されたジャスミン,,,,,,
122005,,봉인된 벚꽃,Sealed Cherry Blossom,被封印的樱花,封印的櫻花,封印された桜,,,,,,
122006,,봉인된 국화,Sealed Chrysanthemum,被封印的菊花,封印的菊花,封印された菊,,,,,,
122007,,봉인된 만다라화,Sealed Mandala flower,被封印的曼陀罗花,封印的曼陀羅花,封印されたマンダラの花,,,,,,
122008,,펫의 꽃,Flower of Pet,宠物之花,寵物之花,ペットの花,,,,,,
123000,,동글동글 안경,Round Glasses,圆框眼镜,圓框眼鏡,丸メガネ,,,,,,
123001,,뾰족한 선글라스,Pointy Sunglasses,尖头太阳镜,尖頭太陽眼鏡,とんがりサングラス,,,,,,
123002,,거대한 이어폰,Giant Earphones,巨型耳机,巨型耳機,巨大なイヤホン,,,,,,
123003,,게임 헤드셋,Gaming Headset,游戏耳机,遊戲耳機,ゲーミングヘッドセット,,,,,,
123004,,풍성한 수염,A full Beard,满脸胡须,滿臉鬍鬚,完全なひげ,,,,,,
123005,,로빈훗 모자,Robin Hood hat,罗宾汉帽子,羅賓漢帽子,ロビンフッドの帽子,,,,,,
123006,,기사의 투구,Kight's Helmet,骑士的头盔,騎士的頭盔,騎士の兜,,,,,,
123011,,카우보이,Cowboy,牛仔,牛仔,カウボーイ,,,,,,
123012,,서부의 총,Wild Western Gun,狂野西部枪,狂野西部槍,ウェスタンガン,,,,,,
123019,,해적,Pirate,海盗,海盜,海賊,,,,,,
123020,,커틀러스,Cutlass,弯刀,彎刀,カットラス,,,,,,
123021,,신규 용사를 위한 안내서 완료를 통해 얻을 수 있는 상품입니다.,This product can be obtained by completing the Guide for New Heros.,该产品可以通过完成新英雄指南来获得。,該產品可以透過完成新英雄指南來獲得。,この製品は、新しい英雄のためのガイドを完了することで入手できます。,,,,,,
123022,,닌자,Ninja,忍者,忍者,忍者,,,,,,
123023,,슈리켄,Shuriken,手里剑,手裡劍,シュリケン,,,,,,
124000,,진군의 뿔피리,Horn of Advance,前进号角,前進號角,前進の角笛,,,,,,
124001,,안식의 종,Bell of Rest,休息钟声,休息鐘聲,休息の鐘,,,,,,
124002,,평화의 연꽃,Lotus of Peace,和平莲花,和平蓮花,平和の蓮,,,,,,
124003,,별을 담은 물병,Water bottle with Stars,有星星的水瓶,有星星的水瓶,星を入れた水のボトル,,,,,,
124004,,몸에 좋은 영양제,Nutrients,对身体有益的营养素,對身體有益的營養素,体に良い栄養剤,,,,,,
124005,,독수리의 깃털,Eagle Feather,鹰的羽毛,鷹的羽毛,ワシの羽,,,,,,
124006,,체리 컵케이크,Cherry Cupcakes,樱桃蛋糕,櫻桃蛋糕,チェリーカップケーキ,,,,,,
124007,,눈 결정,Snow Crystals,雪晶,雪晶,雪の結晶,,,,,,
124008,,발모제,Hair Growth Agent,毛发生长剂,毛髮生長劑,発毛剤,,,,,,
124009,,발모샴푸,Hair Growth Shampoo,生发洗发水,生髮洗髮精,バルモシャンプー,,,,,,
124010,,파란 심장,Blue Heart,蓝心,藍心,ブルーハート,,,,,,
124011,,지혜를 담은 책,Book of Wisdom,一本充满智慧的书,一本充滿智慧的書,知恵を込めた本,,,,,,
124012,,고대의 술잔,Ancient Cup,古代饮酒杯,古代飲酒杯,古代の酒杯,,,,,,
124013,,마녀의 솥,Witch's Cauldron,女巫的大锅,女巫的大鍋,魔女の大釜,,,,,,
124014,,사냥꾼의 활,Hunter's Bow,猎人的弓,獵人的弓,ハンターの弓,,,,,,
124015,,목수의 장갑,Carpenter's Gloves,木匠手套,木匠手套,大工の手袋,,,,,,
124016,,라벤더빛 모자,Lavender Hat,薰衣草帽,薰衣草帽,ラベンダーハット,,,,,,
124017,,버섯왕의 왕관,Mushroom King's Crown,蘑菇王的皇冠,蘑菇王的皇冠,キノコの王冠,,,,,,
124018,,대천사의 서클릿,Archangel's Circlet,大天使的头饰,大天使的頭飾,大天使のサークレット,,,,,,
200000,,존재하지 않는 쿠폰 번호입니다.,Invalid coupon number.,该优兑换码不存在。,不存在的優惠券編號。,存在しないクーポン番号です。,,,,,,
200001,,이미 사용한 쿠폰입니다.,The coupon has already been used.,该兑换码已使用。,已使用過的優惠券。,使用済みクーポンです。,,,,,,
200002,,일괄합성에 성공했습니다.,Successfully used the bundle combination.,一键合成成功。,已成功批次合成。,一括合成に成功しました。,,,,,,
200003,,아이디를 복사했습니다.,ID copied successfully.,已复制ID。,已複製ID。,IDをコピーしました。,,,,,,
200004,,플레이 데이터를 저장했습니다.,Data saved successfully.,已保存游戏数据。,已儲存遊戲數據。,プレイデータを保存しました。,,,,,,
200005,,{0}초 뒤 저장할 수 있습니다.,Please wait {0} second(s) to save.,{0}秒后可保存。,{0}秒後可儲存。,{0}秒後に保存できます。,,,,,,
200006,,획득 가능한 보상이 없습니다.,No available rewards.,无可获得的奖励。,沒有可獲得的獎勵。,獲得できる報酬がありません。,,,,,,
200007,,가이드 퀘스트를 클리어했습니다.,Guide Quest has been completed.,已完成教程任务。,已通過指引任務。,ガイドクエストをクリアしました。,,,,,,
200008,,곧 적들이 몰려옵니다.,Enemies are approaching soon.,敌人即将来袭。,敵人就快逼近了。,まもなく敵が押し寄せてきます。,,,,,,
200009,,이전 시련부터 진행해주세요.,Please complete the previous Trial first.,请先进行上一个试验。,請先完成上一個試驗。,前段階からまず試練させてください。,,,,,,
200010,,{0} 스테이지를 클리어해주세요.,Please clear Stage {0}.,请通关{0}关卡。,請通過{0}關卡。,{0}ステージをクリアしてください。,,,,,,
200011,,던전 진행 중에는 시련에 도전할 수 없습니다.,You can't try this Trial while a dungeon is in progress.,进行副本时无法试验。,正在進行副本時，無法挑戰試驗。,ダンジョンの進行中は試練に挑戦することができません。,,,,,,
200012,,칭호 {0} 를 얻었습니다.,{0} Title acquired.,已获得{0}称号。,已獲得稱號{0}。,称号{0}を獲得しました。,,,,,,
200013,,알 수 없는 오류가 발생했습니다.,An unknown error has occurred.,发生未知错误。,發生未知錯誤。,不明なエラーが発生しました。,,,,,,
200014,,잘못된 계정입니다.,Invalid account.,账号错误。,錯誤的帳號。,正しくないアカウントです。,,,,,,
200015,,이미 사용 중인 닉네임입니다.,The nickname is already in use.,该昵称已被使用。,該暱稱已被使用。,すでに使用されているニックネームです。,,,,,,
200016,,적절하지 않은 닉네임입니다.,Inappropriate nickname.,昵称违规。,不適當的暱稱。,適切ではないニックネームです。,,,,,,
200017,,스킬 프리셋을 먼저 해금해주세요.,Please unlock the skill preset first.,请先解锁技能预设。,請先解鎖預設技能。,先にスキルプリセットを解禁してください。,,,,,,
200018,,각성이 필요합니다.,Awaken is required.,需进行觉醒。,需要覺醒。,覚醒が必要です。,,,,,,
200019,,오프라인 보상을 받았습니다.,Offline reward collected.,已获得离线奖励。,已收到離線獎勵。,オフライン報酬を受け取りました。,,,,,,
200020,,이전 단계의 패스를 완료하세요.,Please complete the previous pass first.,请完成上一级别的通行证。,請完成上一階段的通行證。,前段階のパスを完了してください。,,,,,,
200021,,빈 제단이 없습니다.,There is no empty altarf.,没有空的祭坛。,沒有空的祭壇。,空のアルタルフなど存在しない。,,,,,,
200022,,봉인된 꽃을 선택해 주세요.,Please select a sealed Flower.,请选择被封印的花。,請選擇封印的花。,封印された花を選択してください。,,,,,,
200023,,제단이 해금되었습니다.,The altarf has been unlocked.,祭坛已解锁。,祭壇已解鎖。,アルタルフのロックが解除されました。,,,,,,
200024,,구매에 실패했습니다.,Purchase failed.,购买失败。,購買失敗。,購入に失敗しました。,,,,,,
200025,,보스전용 스킬 프리셋으로 설정되었습니다.,The boss-specific skill preset has been set.,已设置为BOSS专属技能预设。,已設置為BOSS專用預設技能。,ボス専用スキルプリセットに設定されました。,,,,,,
200026,,이전 스킬 프리셋 슬롯을 먼저 해금해주세요.,Please unlock the previous skill preset slot first.,请先解锁之前的技能预设栏位。,請先解鎖之前的預設技能欄位。,以前のスキルプリセットスロットを先に解禁してください。,,,,,,
200027,,스킬 프리셋 슬롯이 해금되었습니다.,Skill preset slot has been unlocked.,技能预设栏位已解锁。,已解鎖預設技能欄位。,スキルプリセットスロットが解禁されました。,,,,,,
200028,,던전에서는 스킬을 변경할 수 없습니다.,You can't change skills while in a dungeon.,副本中无法更改技能。,在副本中無法變更技能。,ダンジョンではスキルの変更ができません。,,,,,,
200029,,"{0} 통과 시, 이용 가능합니다.",Available upon passing {0}.,通过 {0} 后即可使用。,通過 {0} 後即可使用。,{0} 通過時、利用可能です。,,,,,,
200030,,"{0} 스테이지 진입 시, 이용 가능합니다.",Available when you enter Stage {0}.,进入{0}关卡时可使用。,進入{0}關卡時，即可使用。,{0}ステージへの進入時に利用できます。,,,,,,
200031,,"메인 퀘스트 {0} 완료 시, 이용 가능합니다.",Available when you complete {0} main quest.,完成主线任务{0}后可使用。,完成主要任務{0}時，即可使用。,メインクエスト{0}の完了時に利用できます。,,,,,,
200032,,구매에 성공했습니다.,Purchase successful.,购买成功。,成功購買。,購入に成功しました。,,,,,,
200033,,펫 던전에서는 펫을 변경할 수 없습니다.,You can't change Pets in the Pet Dugn..,宠物副本中无法更改宠物。,在寵物副本中無法變更寵物。,ペットダンジョンではペットの変更ができません。,,,,,,
200034,,이미 추천 장비를 장착하고 있습니다.,The suggested equipment is already equipped.,已佩戴推荐装备。,已穿戴推薦的裝備。,すでにおすすめ装備を装着しています。,,,,,,
200035,,"펫의 꽃 레벨 {0} 달성 시, 이용 가능합니다.",Available when you reach Flower of Pet Lv. {0}.,宠物之花等级达成{0}时可使用。,寵物之花達成Lv.{0}時，即可使用。,ペットの花レベル{0}の達成時に利用できます。,,,,,,
200036,,이미 모든 우편 보상을 받았습니다.,You already collected all rewards in the Mail.,已领取全部邮件奖励。,已領取所有郵件獎勵。,すべてのメール報酬を受け取っています。,,,,,,
200037,,우편함에 상품이 도착하였습니다.,A new item has been sent to your Mail.,商品已发送至邮箱。,信箱裡已收到商品。,メールボックスに商品が届きました。,,,,,,
200038,,필요 재화가 부족합니다.,Not enough goods.,所需货币不足。,所需貨幣不足。,必要な財貨が足りません。,,,,,,
200039,,이미 사용 중인 닉네임입니다.,Nickname is already in use.,该昵称已被使用。,該暱稱已被使用。,すでに使用されているニックネームです。,,,,,,
200040,,시련 진행 중에는 던전에 도전할 수 없습니다.,You can't enter a dungeon while this Trial is in progress.,进行试验时无法挑战副本。,正在進行試驗時，無法挑戰副本。,試練進行中はダンジョンに挑戦することができません。,,,,,,
200041,,현재는 자동진행 상태를 변경할 수 없습니다.,You can't change Auto Play status right now.,当前无法更改自动进行状态。,現在無法變更自動進行狀態。,現在は自動進行状態の変更ができません。,,,,,,
200042,,스킬 범위 내에 적이 없습니다,No enemies within the range.,技能范围内没有敌人。,技能範圍內沒有敵人。,スキルの範囲内に敵がいません。,,,,,,
200043,,소탕을 할 수 없는 레벨입니다.,You can't use Auto-Clear at your current level.,该等级无法扫荡。,目前等級無法進行掃蕩。,掃討できないレベルです。,,,,,,
200044,,"닉네임을 정확히 입력해주세요,.",Please enter a correct nickname.,请输入正确的昵称。,請正確輸入暱稱。,ニックネームを正確に入力してください。,,,,,,
200045,,[넥스트올] {0} 알림 수신에 동의하셨습니다.,[RainbowRabbit] {0} You have agreed to receive notifications.,已同意接收【彩虹兔】{0}通知。,已同意接收[彩虹兔]{0}通知。,[虹ウサギ]{0}通知の受信に同意しました。,,,,,,
200046,,[넥스트올] {0} 알림 수신에 거부하셨습니다.,[RainbowRabbit] {0} You refused to receive notifications.,已拒绝接收【彩虹兔】{0}通知。,已拒絕接收[彩虹兔]{0}通知。,[虹ウサギ]{0}通知の受信を拒否しました。,,,,,,
200047,,[넥스트올] {0} 야간 알림 수신에 동의하셨습니다.,[RainbowRabbit] {0} You have agreed to receive night-time notifications.,已同意接收【彩虹兔】{0}夜间通知。,已同意接收[彩虹兔]{0}夜間通知。,[虹ウサギ]{0}夜間通知の受信に同意しました。,,,,,,
200048,,[넥스트올] {0} 야간 알림 수신에 거부하셨습니다.,[RainbowRabbit] {0} You refused to receive night-time notifications.,已拒绝接收【彩虹兔】{0}夜间通知。,已拒絕接收[彩虹兔]{0}夜間通知。,[虹ウサギ]{0}夜間通知の受信を拒否しました。,,,,,,
200049,,영상 재생에 오류가 발생했습니다. 영상을 종료해주세요.,"There was an error playing the video, please end the video.",播放视频时出现错误。请关闭视频。,播放影片時發生錯誤，請關閉影片。,動画再生に関するエラーが発生しました。動画を終了させてください。,,,,,,
200050,,앱 내 구입 기능이 차단이 되어 구매가 불가합니다. 해제 후 다시 시도해 주세요. (설정 > 스크린 타임 > 콘텐츠 및 개인 정보 보호 제한 > iTunes 및 App Store 구입 > 앱 내 구입),You can't make a purchase because the in-app purchase feature has been blocked. Please unblock the feature and try again. (Settings > Screen Time > Content & Privacy Restrictions > iTunes & App Store Purchases > In-app Purchases),应用内的购买功能关闭，无法购买。请解锁后重试。（设置 > 屏幕时间 > 内容及隐私政策限制 > iTunes和App Store购买 > 应用内购买）,已關閉APP內購買功能，無法購買。請解除限制後再試一次。（設定>螢幕使用時間>內容和隱私權限制> iTunes與App Store購買>APP內購買）,アプリ内課金機能が遮断されており、購入ができません。解除後にもう一度お試しください(設定 > スクリーンタイム > コンテンツとプライバシーの制限 > iTunesおよびApp Storeでの購入 > アプリ内課金)。,,,,,,
200051,,구매 처리 중 문제가 발생하였습니다. 구매를 재시도해주세요.,There was a problem processing your purchase. Please retry the purchase.,购买处理过程中发生问题。请重新购买。,處理購買時出現問題，請重新購買。,購入の処理中に問題が発生しました。購入を再度お試しください。,,,,,,
200052,,구매 복구 처리 중 문제가 발생하였습니다. 다음게임 재시작시 구매 복구가 재처리 됩니다.,There was a problem processing the purchase recovery. Purchase recovery will be reprocessed at the next game restart.,恢复购买过程中发生问题。下次重新开始游戏时将重新进行恢复购买。,處理恢復購買時出現問題。將在下次重啟遊戲時重新處理恢復購買。,購入復元の処理中に問題が発生しました。ゲームを再起動する際に購入復元が再処理されます。,,,,,,
200053,,구매가 이미 진행중입니다.,The purchase is already in progress.,正在购买中。,正在進行購買中。,購入している途中です。,,,,,,
200054,,로그인 기능이 이미 사용 중입니다. 잠시 후 재 시도 해주세요.,The login feature is already in use. Please try again later.,登录功能正在使用。请稍后重试。,已使用登入功能中，請稍後再試一次。,ログイン機能はすでに使用されています。しばらくしてからお試しください。,,,,,,
200055,,계정 연동에 성공했습니다.,Account connection successful.,绑定账号成功。,帳號綁定成功。,アカウント連携に成功しました。,,,,,,
200056,,계정 연동에 실패했습니다.,Account linkage failed.,绑定账号失败。,帳號綁定失敗。,アカウント連携に失敗しました。,,,,,,
200057,,최대 스테이지에 도달했습니다.,The maximum stage has been reached.,已到达关卡上限。,已達到最高關卡。,最大ステージに到達しました。,,,,,,
200058,,광고 로딩 중입니다. 잠시 후 다시 시도해주세요.,The ad is loading. Please try again later.,正在加载广告。请稍后重试。,正在載入廣告，請稍後再試一次。,広告を呼び出しています。しばらくしてからお試しください。,,,,,,
200059,,사용 불가능한 닉네임입니다.,This nickname is not available.,该昵称无法使用。,無法使用的暱稱。,使用できないニックネームです。,,,,,,
200060,,모든 잠재가 잠겨있습니다.,All Potential are locked.,所有潜在未解锁。,所有潛在都被鎖定。,すべての潜在がロックされています。,,,,,,
200061,,패스 구입 시 보상을 획득 할 수 있습니다.,You can have rewards when purchasing a pass.,购买通行证即可获得奖励。,購買通行證即可獲得獎勵。,パスを購入すると特典がもらえます。,,,,,,
200062,,보석을 장착해주세요.,Please equip Jewel.,请装备宝石子。,請裝備寶石子。,宝石を装備してください。,,,,,,
200063,,이미 모든 보석이 장착되어 있습니다.,All Jewel are already installed.,所有珠子均已安装。,所有寶石子均已安裝。,すべての宝石がすでに取り付けられています。,,,,,,
210000,,퀘스트,Quest,任务,任務,クエスト,,,,,,
